Metadata_broad_sample,Metadata_Plate,Metadata_Well,Metadata_pert_iname,Metadata_InChIKey,Control,Cytoskeletal,Hsp90,Kinase,Genotoxin,Miscellaneous,Redox,HDAC,mTOR,Proteasome,Saponin,Mitochondria,Ferroptosis,Tannin,Nonspecific reactive,pred_injury,datatype,shuffled
BRD-K00259736-001-16-4,BR00117015,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,7.470538648664224e-90,1.0,3.602216404714001e-23,3.0638033014851298e-74,5.153571654136134e-35,7.63607285279073e-39,3.879282441976029e-37,2.419797652244413e-84,1.2707649011272638e-95,1.3337787059827122e-44,7.966832434344799e-84,4.348033862371123e-24,6.2865078184691365e-74,2.1226780986902083e-17,1.2888292404216843e-35,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117016,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.7412794779951708e-107,0.9999999999997238,4.825368374703955e-34,2.118291341395859e-90,2.1109636093799057e-43,7.945134080402712e-50,4.257852757159337e-44,7.264780604179108e-161,1.0573090561371685e-123,7.950882094295872e-51,2.362046043888681e-115,8.43313524521238e-47,3.6835679842155035e-95,3.216636406852034e-39,2.762244257533868e-13,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117012,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,6.797726879579004e-66,1.0,4.1755960620433464e-80,2.8072313126989146e-72,7.008189883142814e-66,4.981560400652246e-46,1.3551015575420308e-56,5.1526791037551114e-68,6.542307267188104e-115,2.75195821209344e-35,1.724584447510524e-57,4.30955588259004e-92,2.0488707214430253e-51,2.1787534857150225e-91,7.37751076294594e-64,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117013,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.6280567151665033e-88,1.0,1.809896647379722e-102,1.544220800767492e-88,1.0926327658327996e-81,1.668956870602505e-43,9.64807123639197e-59,4.5920351236224954e-111,5.012478649364778e-156,5.2428468920524e-35,6.309453818141981e-58,1.2065695004517118e-124,4.7195396480153426e-52,3.1255526669919027e-100,1.263709086278575e-71,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117010,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.3575309442124827e-78,1.0,1.0771731232305197e-89,1.9917269809772096e-91,1.9093432869196972e-79,2.705167906359047e-39,3.9524962562753914e-57,1.7720471236249476e-58,2.2877647961558978e-138,3.725850876260529e-35,1.6435326911297855e-61,1.9980219577903135e-95,1.399299877697744e-51,2.094215251890012e-77,3.3006373321381857e-60,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117011,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.4113692023311203e-92,1.0,8.59959836052332e-121,9.600381366348175e-107,1.0493844362098436e-93,2.1810677650797433e-44,1.356566729580252e-54,3.716670375653078e-109,2.305827537499122e-181,4.063033597675824e-46,4.275345613233465e-63,1.3952412191581246e-138,6.9442253955421205e-28,6.110534598471645e-122,2.1501101403751337e-64,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117054,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,5.465286513764752e-129,1.0,8.503636103913361e-47,4.8745562612559936e-91,5.842967852354353e-41,5.168295732707667e-69,7.424303937073394e-43,5.4155211424808545e-121,1.896116439368923e-147,1.4741574324479368e-59,2.010060406269874e-105,1.429267585259824e-50,1.5204225907089058e-90,1.834597908665209e-69,2.6521791415497357e-39,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117055,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,7.18271977771009e-117,1.0,1.845693523136294e-56,2.7707914917531565e-87,4.115509559167871e-43,1.582286927397906e-61,4.181941998872872e-30,3.273613099702955e-129,7.262598766946611e-145,4.2508674694842374e-51,9.464792990695904e-109,2.623503874399396e-57,4.899257628891121e-94,3.8553756216588145e-62,3.8980779660677845e-29,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117008,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,6.538937228826268e-97,1.0,1.194050041349993e-48,9.855409726480857e-75,7.260487383970615e-40,1.403797708446989e-58,5.05192809321881e-30,2.1494520042333498e-110,1.84148935040502e-122,2.812444145232873e-46,2.5883462549931395e-99,8.211892785781294e-44,2.6470745057801055e-83,5.158245545882131e-47,4.6086827176371623e-38,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117009,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.157496813998209e-90,1.0,5.433977472774156e-50,2.879965536987884e-66,4.942737475721914e-45,5.7185412350839596e-49,4.04697991927743e-30,4.575716871588501e-106,6.68953546900514e-103,7.45079744065547e-47,1.255447546028647e-91,2.7727437021969754e-27,1.8556959038080265e-70,5.679548776613602e-45,1.079738783119396e-25,Cytoskeletal,JUMP Overlap,False
