Metadata_broad_sample,Metadata_Plate,Metadata_Well,Metadata_pert_iname,Metadata_InChIKey,Control,Cytoskeletal,Hsp90,Kinase,Genotoxin,Miscellaneous,Redox,HDAC,mTOR,Proteasome,Saponin,Mitochondria,Ferroptosis,Tannin,Nonspecific reactive,pred_injury,datatype,shuffled
BRD-K00259736-001-16-4,BR00117054,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.5351567921317991e-127,1.0,9.525634993562001e-45,5.870286094740584e-88,1.3966157970059302e-39,3.1258630183325687e-62,2.59689205256916e-41,6.321317705331092e-121,2.4958805766285987e-146,1.6647676538833574e-55,1.5523943660975304e-103,3.776926395308533e-48,2.7680194476558674e-99,5.571240927979263e-62,4.883755654277686e-27,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117055,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.631918662483618e-116,1.0,1.2601746946887979e-54,5.593664033055044e-85,5.0277001390581956e-42,1.9771665813271376e-55,2.538148582229697e-29,1.914128283291881e-129,6.083039437760058e-145,6.144772128319284e-48,1.0953203783802843e-107,1.9503176237364945e-54,3.392067661290004e-104,1.4018402310043512e-55,1.1669151320891846e-17,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117008,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.3086557896837244e-96,1.0,4.485300266469217e-47,9.920547469970723e-73,7.888863853630267e-39,1.6135175001539879e-55,8.104775593979441e-29,8.507203992047265e-111,4.746336272073358e-122,1.7672395252258878e-42,2.140993339386113e-98,9.492142221397277e-40,3.542476261435519e-90,5.662578684100136e-43,9.367047999134103e-22,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117009,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.6003365557183667e-90,0.9999999999769005,9.49964262659684e-49,2.406982328383278e-64,1.889311454549844e-44,3.0537720127823997e-44,2.8699692279886965e-29,2.0154158806760698e-106,1.4866184399627728e-102,6.404885420188738e-44,2.2006322194925807e-91,7.936048339447174e-24,1.8784730887739618e-79,3.441842085530862e-42,2.3099412616479115e-11,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117052,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.972282748306315e-135,1.0,5.899573420376389e-31,2.74427133732481e-91,8.643940897633993e-52,1.1117757872145718e-70,4.4918583029397557e-41,4.558095853161277e-126,3.7838541559419836e-143,1.4708476502831425e-53,1.4322869903034756e-129,4.594703633067381e-58,6.782264948675685e-169,1.5025998418480888e-30,6.475710662447106e-34,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117053,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.0901539662684183e-128,1.0,2.8227792756305985e-39,6.316959304650166e-87,2.5738608253678225e-58,3.553105972334465e-67,2.4592353432702048e-45,1.40401202616008e-121,1.3063062701338492e-143,9.696440584494599e-64,1.70515923451934e-129,1.8822972540075198e-61,4.591553377241127e-183,2.4074244337898467e-47,3.8015849854252035e-27,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117050,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,6.073041899084615e-107,7.394868518201367e-05,0.9999260510947007,7.048791269391993e-55,1.0482993710221287e-47,5.771395098665086e-54,4.3421856973108373e-36,1.0570314777193569e-92,2.827200464172358e-103,9.295066124372456e-48,2.435651169835511e-107,1.6133541979999897e-47,5.616659233630156e-128,2.0661900354615743e-41,2.2011748198857937e-10,Hsp90,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117051,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,7.869627518551402e-106,1.0,9.265174149528443e-35,4.763687647915739e-71,2.3383287144068985e-62,1.517537214836917e-59,8.08823013716988e-43,8.836961333254058e-102,1.1866669387305568e-127,2.1745552459817367e-53,7.33664216516559e-119,5.722142973079776e-72,1.607485287711021e-166,3.0747483440875236e-38,1.0282241948392616e-16,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116991,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.118054571473757e-14,4.99896697285589e-15,3.2192673993335202e-15,1.1310341514917552e-13,2.4560717318295954e-15,9.597061395339725e-13,9.419534821213335e-19,1.512465437760208e-17,5.6456050917003155e-15,0.9999999999987375,1.742144893887854e-16,1.5181252630673742e-13,7.32774214649298e-22,3.4129998995428995e-27,2.8224187352348025e-16,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00116992,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.2344674430842568e-14,4.471673299190684e-15,1.6150194977300102e-15,5.995747995233226e-13,3.314419076998129e-14,7.063413862626188e-14,4.119749482886772e-16,5.2940174757947895e-17,4.807419484191902e-17,0.9999999999401818,7.347286099503056e-17,5.908540018555458e-11,8.688061266677617e-29,1.3153591631665546e-27,3.7042017357700974e-16,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00116993,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,6.95446718219261e-19,2.881248473150757e-18,1.0079957022734936e-19,2.701269238603919e-17,1.3236530852687762e-19,5.106653827386063e-18,4.0290631568839555e-19,8.753553886665767e-22,1.2403868839795323e-28,0.9999999999949483,1.7676740175743597e-22,5.051743862846622e-12,2.453255179760729e-37,8.557077793574693e-39,4.217796381962141e-23,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00116994,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.0230145003466612e-17,4.34850462242734e-17,6.288041254257666e-18,1.3906147761531853e-15,5.2621155526997835e-18,8.050734906456339e-17,2.92794878734581e-18,1.9615670934589591e-22,2.8366738311932327e-21,0.9999999999326528,1.4219495064563248e-19,6.734564052096398e-11,6.2177627798536415e-31,4.039197664748441e-36,2.1991577786193257e-20,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00116995,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.7319985054689403e-06,4.78371740657462e-07,5.543491311371598e-09,5.152518282628158e-05,1.23750848817138e-06,3.1324801950832544e-05,3.9626180945647945e-10,7.905085743467176e-10,0.00014715632776285121,0.5582773456289665,6.782255274411392e-11,0.44148719299203165,4.7821348338298465e-15,3.731150350485482e-10,1.6523478120164708e-11,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117024,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.2009619240538795e-10,3.3125668049971383e-12,1.931937443003296e-15,1.4214099432424176e-09,5.4764358415336836e-11,1.3369321264764581e-08,3.1755248748944808e-18,6.735821514450146e-10,3.033777983192902e-11,2.752770870362727e-06,2.6238719364108304e-17,0.9999963197826485,1.8525345683040573e-19,9.116736539970585e-07,8.03159656203018e-16,Mitochondria,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117025,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.8966355113015768e-08,1.913809759901233e-10,2.7632424922365756e-12,2.2874583129422894e-07,2.5792516729191088e-09,9.304658707986993e-07,1.6728374997940019e-12,2.1217024843669864e-09,3.394673729008189e-06,0.1049166100451317,1.9502809276633482e-13,0.8950788122061157,9.669392740745246e-19,1.2827996715093397e-16,3.914126181028676e-17,Mitochondria,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117026,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.9133564254036764e-06,1.8512256403259108e-08,1.412860430806479e-09,2.9027944763753526e-05,1.9645210392931444e-07,6.020755063984194e-05,2.381483523135728e-09,5.794457201845569e-11,1.0372394913741751e-09,0.001507030031190864,1.9457744240731748e-10,0.9984016010685044,1.7347422465188945e-17,9.925101800742855e-15,4.9221296426969015e-17,Mitochondria,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117017,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,8.859072680174569e-07,8.039982998127765e-07,3.6502391292589423e-07,0.00010542088983936306,5.922124765080229e-06,2.638005319707343e-06,0.0011636075051502232,5.340006817623291e-11,2.051978988225342e-08,0.9987203299975729,1.3895015724803027e-16,4.83640128893024e-10,3.615902844132609e-20,1.7749503723983732e-23,5.491041897156063e-09,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117019,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.7485649512889736e-10,1.7938808665431176e-10,5.534088719821062e-11,7.862779791162253e-09,3.3792716535710134e-10,2.652971707913515e-10,1.2720689208519763e-07,2.636779450778129e-15,2.76365149631687e-16,0.9999998639172548,1.9153548216681898e-16,2.2582438222980467e-13,3.956224028557363e-26,7.72122054018825e-26,3.464120861922482e-14,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117015,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.1110613716440057e-09,3.5728104280746534e-09,4.997595079388471e-09,4.816502127298771e-08,7.505201380233301e-09,2.631678346620522e-09,1.7612051164123997e-05,2.498684015774927e-13,2.3900393319449996e-13,0.9999823179639693,1.8489221050092203e-15,7.279632974327377e-13,1.4588980477173914e-22,7.285130329207103e-22,2.799611421874958e-13,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117016,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,5.105202631845706e-13,7.939295810689914e-13,2.9103824958625542e-12,1.2825639432668795e-11,2.79540852056378e-12,7.049496790515766e-13,1.2563189304254173e-10,4.3843060718803876e-15,8.392313206896865e-18,0.9999999998538212,1.4244321911352297e-20,2.2112632945067432e-16,8.860381336989423e-25,2.442088365556283e-25,1.6131779737165682e-15,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117012,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,7.17599443685902e-08,1.089171330206555e-08,2.319842272505531e-12,2.5648910071639516e-06,4.7015153129809434e-08,3.9132068373427595e-07,1.1201814236215899e-13,0.0014007156750879437,2.687265546887163e-07,0.9985959296312372,4.286394147966782e-11,2.2524754988464047e-11,1.4486489404912135e-11,2.5140780488845653e-12,3.797458765455046e-12,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117013,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.016302320122126e-12,1.5047189728122995e-15,1.7331182699740682e-16,5.195288204907179e-12,3.748165315149436e-13,6.173028685467105e-12,3.822483541841925e-20,3.1344651461672284e-09,5.9291434738244116e-08,1.4013864949370469e-06,5.1764232463361544e-17,8.499179114103201e-16,5.272972077559851e-16,0.9999985361748428,3.526740973492122e-18,Tannin,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117010,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,0.0012983223892885647,0.0003495349199285171,4.3526596917644024e-07,0.04699246439140034,0.00047488197992820615,0.017575575045057162,8.977788296731878e-08,0.28675730535260574,0.00014686896061238744,0.6463692548891383,1.008075704889478e-06,3.3813295060501114e-05,1.966904849070525e-15,4.456565966866158e-07,8.244713682439964e-13,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117011,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.2478509749614435e-09,1.6250194136213803e-11,7.064539503960369e-16,8.784725691710619e-09,5.209028188843213e-10,2.688248497632494e-09,1.158470892745823e-21,0.9988347732680369,1.3932853943348432e-07,5.784334928048302e-07,5.233424026969732e-16,6.600116851664865e-13,1.1847868585186674e-14,0.001164495711277281,2.2189489174948867e-15,HDAC,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117054,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,7.773080707944131e-14,1.7281376064671923e-14,1.0951568686364268e-13,3.9285177945952466e-12,1.0638594436520923e-12,7.797735808535266e-14,1.6185486113580524e-10,7.428878008834411e-17,2.6922497738031314e-16,0.9999999998328688,4.122150265110107e-24,8.481032803986636e-18,2.9744173225499386e-26,2.837043326642318e-22,1.1615042414276245e-15,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117055,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,5.398369806807584e-10,1.0150501820703024e-10,2.877615908355763e-09,2.888717173202182e-08,7.364753947923332e-09,4.584030577397709e-10,4.1327263918847196e-07,5.813271782628819e-11,6.057568748687761e-14,0.9999995464192873,5.169030037270264e-19,1.1362879525521633e-14,1.0298343946495496e-23,4.4168564892660434e-17,2.058225720846815e-11,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117008,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.689543809657154e-10,4.472066203852353e-11,1.8114598996614367e-10,5.143647727169026e-09,5.433118893255452e-10,1.5375126871928642e-10,6.626817516026616e-10,8.854270289971888e-17,1.5093092326851163e-13,0.9999999930996792,8.47720717835721e-16,6.739475260903009e-13,5.962617925973354e-19,1.4307602867919852e-22,1.2811773455454475e-12,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117009,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.335270071424037e-10,1.2696856962931645e-10,1.604197918129177e-10,5.626313234766536e-09,6.253294416452059e-10,1.9053889106734714e-10,1.7644936574390016e-09,2.1302611436327483e-12,5.3415099795454386e-12,0.9999999912487424,1.4882735061643616e-15,1.3598846095055158e-11,7.189276013373319e-17,3.96500235618553e-20,2.5948587336991893e-12,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117052,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,8.610516376539215e-06,2.5872049848869064e-06,2.0122298448409444e-07,0.0007152517521974048,0.00038473862809227315,3.74164532796742e-06,0.07589610279967668,1.3684779337122324e-10,3.515263455565793e-17,0.9229887417520832,7.734394969379314e-13,2.714015558057375e-14,1.0530654964054072e-26,8.075929017823558e-23,2.4340628233595798e-08,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117053,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.421203295216764e-15,4.857264129073624e-16,6.074484889919435e-17,7.29242251748194e-14,5.851727946785632e-14,1.8839996089398683e-15,2.3786788010296077e-13,3.354751790373151e-16,1.2988425358650464e-20,0.9999999999996252,4.1265416865549985e-25,1.0875925078732847e-20,1.4899908717654638e-31,9.892808977101964e-26,2.719805843657957e-16,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117050,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.2459105052267335e-10,1.475054432618573e-10,6.683905172190105e-12,1.912242956845691e-09,2.9899215940141423e-09,1.6956076068203387e-10,6.344599404490681e-07,2.2965265033365572e-14,5.555508703381725e-16,0.9999993600811365,1.0960941741148606e-14,3.6620037335241574e-14,5.721679787369962e-35,6.3634266570406e-20,8.346101182660566e-12,Proteasome,JUMP Overlap,True
BRD-K00259736-001-16-4,BR00117051,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.4801510101976567e-11,1.2679498886010587e-11,5.911406835150466e-14,2.355219024869205e-10,1.5043540620036692e-10,2.692672186989376e-10,8.622687827325138e-13,6.100576460849508e-13,3.6099335104788595e-21,0.9999999993154782,5.748254579246611e-16,6.053523314197534e-16,2.0347282331779683e-29,8.92053039997341e-25,2.8353367348532855e-13,Proteasome,JUMP Overlap,True
